2025-11-19 13:53:33 - 8_0.4_1 - INFO - ================================================
2025-11-19 13:53:33 - 8_0.4_1 - INFO - 日志文件已创建: logs/cifar-100/fedotp/8_0.4_1_20251119_135333.log
2025-11-19 13:53:33 - 8_0.4_1 - INFO - ================================================
2025-11-19 13:53:33 - 8_0.4_1 - INFO - 
2025-11-19 13:53:33 - 8_0.4_1 - INFO - ======================================================================
2025-11-19 13:53:33 - 8_0.4_1 - INFO - 📋 实验配置摘要
2025-11-19 13:53:33 - 8_0.4_1 - INFO - ======================================================================
2025-11-19 13:53:33 - 8_0.4_1 - INFO -   Task ID:      [37/60]
2025-11-19 13:53:33 - 8_0.4_1 - INFO -   数据集:       cifar-100
2025-11-19 13:53:33 - 8_0.4_1 - INFO -   模型方法:     fedotp
2025-11-19 13:53:33 - 8_0.4_1 - INFO -   Rank:         8
2025-11-19 13:53:33 - 8_0.4_1 - INFO -   噪声级别:     0.4
2025-11-19 13:53:33 - 8_0.4_1 - INFO -   随机种子:     1
2025-11-19 13:53:33 - 8_0.4_1 - INFO -   客户端数量:   50
2025-11-19 13:53:33 - 8_0.4_1 - INFO -   数据划分:     noniid-labeldir
2025-11-19 13:53:33 - 8_0.4_1 - INFO -   训练轮次:     30
2025-11-19 13:53:33 - 8_0.4_1 - INFO - ======================================================================
2025-11-19 13:53:33 - 8_0.4_1 - INFO - 
2025-11-19 13:53:33 - 8_0.4_1 - INFO - Loading trainer: DP_FPL
2025-11-19 13:53:33 - 8_0.4_1 - INFO - Loading dataset: Cifar100
2025-11-19 13:53:34 - 8_0.4_1 - INFO - Loading CLIP (backbone: ViT-B/16)
2025-11-19 13:53:36 - 8_0.4_1 - INFO - Building custom CLIP
2025-11-19 13:53:36 - 8_0.4_1 - INFO - Turning off gradients in both the image and the text encoder
2025-11-19 13:54:20 - 8_0.4_1 - INFO - [Epoch 1/30] 训练耗时: 43.20s | 平均训练准确率: 34.12
2025-11-19 13:55:02 - 8_0.4_1 - INFO - [Epoch 2/30] 训练耗时: 42.00s | 平均训练准确率: 57.30
2025-11-19 13:55:44 - 8_0.4_1 - INFO - [Epoch 3/30] 训练耗时: 42.49s | 平均训练准确率: 65.84
2025-11-19 13:56:26 - 8_0.4_1 - INFO - [Epoch 4/30] 训练耗时: 41.88s | 平均训练准确率: 66.14
2025-11-19 13:57:08 - 8_0.4_1 - INFO - [Epoch 5/30] 训练耗时: 41.42s | 平均训练准确率: 66.62
2025-11-19 13:57:50 - 8_0.4_1 - INFO - [Epoch 6/30] 训练耗时: 41.85s | 平均训练准确率: 66.80
2025-11-19 13:58:32 - 8_0.4_1 - INFO - [Epoch 7/30] 训练耗时: 42.88s | 平均训练准确率: 67.39
2025-11-19 13:59:14 - 8_0.4_1 - INFO - [Epoch 8/30] 训练耗时: 41.78s | 平均训练准确率: 66.69
2025-11-19 13:59:56 - 8_0.4_1 - INFO - [Epoch 9/30] 训练耗时: 42.02s | 平均训练准确率: 67.16
2025-11-19 14:00:38 - 8_0.4_1 - INFO - [Epoch 10/30] 训练耗时: 41.79s | 平均训练准确率: 67.55
2025-11-19 14:01:20 - 8_0.4_1 - INFO - [Epoch 11/30] 训练耗时: 42.14s | 平均训练准确率: 66.97
2025-11-19 14:02:03 - 8_0.4_1 - INFO - [Epoch 12/30] 训练耗时: 42.80s | 平均训练准确率: 66.75
2025-11-19 14:02:45 - 8_0.4_1 - INFO - [Epoch 13/30] 训练耗时: 42.51s | 平均训练准确率: 66.73
2025-11-19 14:03:28 - 8_0.4_1 - INFO - [Epoch 14/30] 训练耗时: 42.18s | 平均训练准确率: 67.45
2025-11-19 14:04:10 - 8_0.4_1 - INFO - [Epoch 15/30] 训练耗时: 42.43s | 平均训练准确率: 67.61
2025-11-19 14:04:52 - 8_0.4_1 - INFO - [Epoch 16/30] 训练耗时: 42.26s | 平均训练准确率: 67.77
2025-11-19 14:05:34 - 8_0.4_1 - INFO - [Epoch 17/30] 训练耗时: 41.95s | 平均训练准确率: 68.05
2025-11-19 14:06:17 - 8_0.4_1 - INFO - [Epoch 18/30] 训练耗时: 42.55s | 平均训练准确率: 68.55
2025-11-19 14:06:59 - 8_0.4_1 - INFO - [Epoch 19/30] 训练耗时: 42.45s | 平均训练准确率: 68.12
2025-11-19 14:07:42 - 8_0.4_1 - INFO - [Epoch 20/30] 训练耗时: 42.34s | 平均训练准确率: 68.42
2025-11-19 14:08:24 - 8_0.4_1 - INFO - [Epoch 21/30] 训练耗时: 42.55s | 平均训练准确率: 68.45
2025-11-19 14:09:06 - 8_0.4_1 - INFO - [Epoch 22/30] 训练耗时: 42.02s | 平均训练准确率: 68.05
2025-11-19 14:09:48 - 8_0.4_1 - INFO - [Epoch 23/30] 训练耗时: 42.31s | 平均训练准确率: 68.34
2025-11-19 14:10:31 - 8_0.4_1 - INFO - [Epoch 24/30] 训练耗时: 42.24s | 平均训练准确率: 68.20
2025-11-19 14:11:13 - 8_0.4_1 - INFO - [Epoch 25/30] 训练耗时: 42.14s | 平均训练准确率: 68.67
2025-11-19 14:11:55 - 8_0.4_1 - INFO - [Epoch 26/30] 训练耗时: 42.14s | 平均训练准确率: 68.47
2025-11-19 14:12:37 - 8_0.4_1 - INFO - [Epoch 27/30] 训练耗时: 41.98s | 平均训练准确率: 68.66
2025-11-19 14:13:21 - 8_0.4_1 - INFO - [Epoch 28/30] 训练耗时: 43.58s | 平均训练准确率: 67.34
2025-11-19 14:13:21 - 8_0.4_1 - INFO - 
2025-11-19 14:13:21 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 14:13:21 - 8_0.4_1 - INFO -                     TEST START - Epoch 28/30
2025-11-19 14:13:21 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 14:13:21 - 8_0.4_1 - INFO - 
2025-11-19 14:19:22 - 8_0.4_1 - INFO - 
================= Local Test Results ==================
+-----------+----------+------------+----------+
| Client    | Accuracy | Error Rate | Macro F1 |
2025-11-19 14:32:49 - 8_0.4_1 - INFO - 
================= Neighbor Test Results ==================
+-----------+----------+------------+----------+
| Client    | Accuracy | Error Rate | Macro F1 |
+-----------+----------+------------+----------+
| Client 0  |    68.99 |      31.01 |    68.38 |
| Client 1  |    68.85 |      31.15 |    68.31 |
| Client 2  |    69.18 |      30.82 |    68.54 |
| Client 3  |    69.28 |      30.72 |    68.66 |
| Client 4  |    69.26 |      30.74 |    68.63 |
| Client 5  |    69.03 |      30.97 |    68.35 |
| Client 6  |    69.18 |      30.82 |    68.66 |
| Client 7  |    69.10 |      30.90 |    68.49 |
| Client 8  |    69.12 |      30.88 |    68.45 |
| Client 9  |    69.04 |      30.96 |    68.44 |
| Client 10 |    68.94 |      31.06 |    68.35 |
| Client 11 |    68.67 |      31.33 |    68.23 |
| Client 12 |    69.07 |      30.93 |    68.42 |
| Client 13 |    69.01 |      30.99 |    68.42 |
| Client 14 |    68.91 |      31.09 |    68.41 |
| Client 15 |    69.08 |      30.92 |    68.48 |
| Client 16 |    69.01 |      30.99 |    68.36 |
| Client 17 |    69.07 |      30.93 |    68.52 |
| Client 18 |    69.07 |      30.93 |    68.49 |
| Client 19 |    69.02 |      30.98 |    68.25 |
| Client 20 |    68.90 |      31.10 |    68.34 |
| Client 21 |    68.84 |      31.16 |    68.18 |
| Client 22 |    68.93 |      31.07 |    68.34 |
| Client 23 |    69.15 |      30.85 |    68.66 |
| Client 24 |    69.00 |      31.00 |    68.50 |
| Client 25 |    69.20 |      30.80 |    68.67 |
| Client 26 |    69.20 |      30.80 |    68.39 |
| Client 27 |    69.14 |      30.86 |    68.64 |
| Client 28 |    68.99 |      31.01 |    68.37 |
| Client 29 |    69.12 |      30.88 |    68.52 |
| Client 30 |    68.79 |      31.21 |    68.17 |
| Client 31 |    68.88 |      31.12 |    68.35 |
| Client 32 |    69.04 |      30.96 |    68.53 |
| Client 33 |    69.01 |      30.99 |    68.34 |
| Client 34 |    69.00 |      31.00 |    68.37 |
| Client 35 |    69.03 |      30.97 |    68.41 |
| Client 36 |    69.01 |      30.99 |    68.36 |
| Client 37 |    69.06 |      30.94 |    68.44 |
| Client 38 |    68.88 |      31.12 |    68.24 |
| Client 39 |    69.18 |      30.82 |    68.40 |
| Client 40 |    68.86 |      31.14 |    68.31 |
| Client 41 |    69.10 |      30.90 |    68.39 |
| Client 42 |    68.63 |      31.37 |    68.08 |
| Client 43 |    68.74 |      31.26 |    68.21 |
| Client 44 |    69.15 |      30.85 |    68.48 |
| Client 45 |    69.22 |      30.78 |    68.59 |
| Client 46 |    68.96 |      31.04 |    68.29 |
| Client 47 |    69.12 |      30.88 |    68.51 |
| Client 48 |    69.20 |      30.80 |    68.62 |
| Client 49 |    68.89 |      31.11 |    68.34 |
| Average   |    69.02 |      30.98 |    68.42 |
+-----------+----------+------------+----------+

2025-11-19 14:32:49 - 8_0.4_1 - INFO - 
2025-11-19 14:32:49 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 14:32:49 - 8_0.4_1 - INFO -                     TEST FINISH - Epoch 30/30
2025-11-19 14:32:49 - 8_0.4_1 - INFO -                     测试耗时: 369.12s
2025-11-19 14:32:49 - 8_0.4_1 - INFO - ================================================================================
2025-11-19 14:32:49 - 8_0.4_1 - INFO - 
2025-11-19 14:32:49 - 8_0.4_1 - INFO - maximum test local acc: 69.351
2025-11-19 14:32:49 - 8_0.4_1 - INFO - mean of local acc: 69.150
2025-11-19 14:32:49 - 8_0.4_1 - INFO - maximum test neighbor acc: 69.244
2025-11-19 14:32:49 - 8_0.4_1 - INFO - mean of neighbor acc: 69.154
